"CellID","seurat_cluster.projected"
"s_008um_00650_00193-1","1"
"s_008um_00556_00172-1","0"
"s_008um_00646_00235-1","1"
"s_008um_00523_00213-1","1"
"s_008um_00538_00224-1","0"
"s_008um_00578_00266-1","0"
"s_008um_00516_00187-1","0"
"s_008um_00559_00185-1","2"
"s_008um_00529_00256-1","0"
"s_008um_00592_00263-1","0"
"s_008um_00521_00200-1","0"
"s_008um_00569_00181-1","1"
"s_008um_00575_00159-1","2"
"s_008um_00589_00156-1","0"
"s_008um_00538_00266-1","1"
"s_008um_00529_00273-1","1"
"s_008um_00552_00228-1","0"
"s_008um_00538_00234-1","0"
"s_008um_00546_00163-1","0"
"s_008um_00552_00203-1","0"
"s_008um_00627_00152-1","1"
"s_008um_00581_00216-1","2"
"s_008um_00561_00193-1","2"
"s_008um_00601_00254-1","0"
"s_008um_00593_00222-1","0"
"s_008um_00628_00162-1","2"
"s_008um_00566_00251-1","0"
"s_008um_00606_00209-1","2"
"s_008um_00638_00185-1","1"
"s_008um_00581_00192-1","2"
"s_008um_00577_00230-1","0"
"s_008um_00531_00183-1","0"
"s_008um_00568_00264-1","0"
"s_008um_00571_00151-1","0"
"s_008um_00532_00138-1","1"
"s_008um_00610_00253-1","2"
"s_008um_00535_00143-1","1"
"s_008um_00630_00201-1","0"
"s_008um_00563_00216-1","2"
"s_008um_00538_00157-1","1"
"s_008um_00583_00253-1","2"
"s_008um_00612_00179-1","0"
"s_008um_00548_00237-1","1"
"s_008um_00594_00155-1","0"
"s_008um_00513_00269-1","0"
"s_008um_00518_00202-1","0"
"s_008um_00620_00157-1","1"
"s_008um_00595_00225-1","0"
"s_008um_00622_00167-1","0"
"s_008um_00611_00212-1","1"
"s_008um_00631_00265-1","1"
"s_008um_00545_00172-1","0"
"s_008um_00631_00175-1","0"
"s_008um_00525_00177-1","0"
"s_008um_00557_00267-1","0"
"s_008um_00579_00141-1","0"
"s_008um_00556_00168-1","0"
"s_008um_00561_00238-1","0"
"s_008um_00535_00270-1","1"
"s_008um_00602_00216-1","0"
"s_008um_00586_00170-1","2"
